city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Mananjary,MG,2022-01-26 00:44:19,-21.2167,48.3333,71.04,86,53,3.69
261,Coquimbo,CL,2022-01-26 00:44:19,-29.9533,-71.3436,63.68,81,14,3.58
262,Kralendijk,BQ,2022-01-26 00:44:20,12.15,-68.2667,78.78,73,40,16.11
263,Iranshahr,IR,2022-01-26 00:44:20,27.2025,60.6848,46.74,57,0,4.61
264,Cockburn Town,TC,2022-01-26 00:44:21,21.4612,-71.1419,76.96,71,0,9.42
265,Richards Bay,ZA,2022-01-26 00:44:21,-28.783,32.0377,73.26,92,33,3.24
266,Chaman,PK,2022-01-26 00:44:19,30.9236,66.4512,35.26,45,0,1.83
267,Ust-Shonosha,RU,2022-01-26 00:44:21,61.1531,41.343,4.57,100,84,3.53
268,Mount Gambier,AU,2022-01-26 00:44:22,-37.8333,140.7667,93.11,29,100,14.97
269,Muzhi,RU,2022-01-26 00:44:22,65.3667,64.6667,9.81,97,100,4.07
270,Beloha,MG,2022-01-26 00:44:23,-25.1667,45.05,67.62,71,0,7.61
271,Waipawa,NZ,2022-01-26 00:44:23,-41.4122,175.5153,70.43,59,74,5.44
272,Alakurtti,RU,2022-01-26 00:44:23,66.9672,30.3491,7.66,97,73,2.17
273,Pisco,PE,2022-01-26 00:43:08,-13.7,-76.2167,69.85,78,0,20.71
274,Liverpool,GB,2022-01-26 00:44:06,53.4106,-2.9779,41.14,89,20,1.14
275,Bakel,SN,2022-01-26 00:44:24,14.905,-12.4568,76.95,10,100,12.03
276,Sauda,NO,2022-01-26 00:44:24,59.6506,6.3542,45.68,99,100,12.48
277,Atuona,PF,2022-01-26 00:44:25,-9.8,-139.0333,78.31,74,3,17.47
278,Dawson Creek,CA,2022-01-26 00:44:25,55.7666,-120.2362,42.15,52,0,19.57
279,Nemuro,JP,2022-01-26 00:44:25,43.3236,145.575,16.23,73,100,0.29
